Date,Location,Crop,Helicoverpa_eggs,Helicoverpa_larvae
02/01/1998,BIL,FA,1.8,3.6
02/01/1998,BIL 01,CP,1.1,1.3
02/01/1998,BIL 02B,Pigeonpea,4.4,1.7
02/01/1998,BIL 03C,CP,2.7,1.5
02/01/1998,BIL 07AN02,S,,
02/01/1998,BIL 07AN04,M,,
02/01/1998,BIL 07AS03,S,,
02/01/1998,BM 13A,CP,9.9,1.8
02/01/1998,BM 13B,CP,6.2,2.2
02/01/1998,BM 15C,CP,2.8,0.9
02/01/1998,BM 21AWIS02,M,,1
02/01/1998,BR,FA,1.6,0.8
02/01/1998,BS 03CIS01,M,,
02/01/1998,BUS,FA,2,1.2
02/01/1998,BW 07A02,Pigeonpea,1.2,1.4
02/01/1998,BW 07A03,Pigeonpea,1.2,1.4
02/01/1998,BW 07A03,CP,1.7,0.3
02/01/1998,BW 07A04,Pigeonpea,1.2,1.4
02/01/1998,BW 07A05,Pigeonpea,1.2,1.4
02/01/1998,BW 07A05,CP,1.7,0.3
02/01/1998,BW 07A06,CP,1.7,0.3
02/01/1998,BW 07A07,Pigeonpea,1.2,1.4
02/01/1998,BW 07A07,CP,1.7,0.3
02/01/1998,BW 07A08,CP,1.7,0
02/01/1998,BW 07A09,Pigeonpea,1.2,1.4
02/01/1998,BW 07A10,CP,1.7,0.3
02/01/1998,BW 07A11,CP,1.7,0.3
02/01/1998,BW 07A12,Pigeonpea,1.2,1.4
02/01/1998,BW 07A14,CP,1.7,0
02/01/1998,BW 07B02,Pigeonpea,1.2,1.4
02/01/1998,BW 07B03,Pigeonpea,1.2,1.4
02/01/1998,BW 07B04,CP,1.7,0.3
02/01/1998,BW 07B05,Pigeonpea,1.2,1.4
02/01/1998,BW 07B06,CP,1.7,0.3
02/01/1998,BW 07B07,CP,1.7,0
02/01/1998,BW 07B08,Pigeonpea,1.2,1.4
02/01/1998,BW 07B08,CP,1.7,0.3
02/01/1998,BW 07B09,Pigeonpea,1.2,1.4
02/01/1998,BW 07B09,CP,1.7,0.3
02/01/1998,BW 07B10,Pigeonpea,1.2,1.4
02/01/1998,BW 07B10,CP,1.7,0.3
02/01/1998,BW 07B11,Pigeonpea,1.2,1.4
02/01/1998,BW 07B11,CP,1.7,0.3
02/01/1998,BW 07C03,CP,1.7,0.3
02/01/1998,BW 07C04,Pigeonpea,1.2,1.4
02/01/1998,BW 07C05,Pigeonpea,1.2,1.4
02/01/1998,BW 07C06,CP,1.7,0.3
02/01/1998,BW 07C07,Pigeonpea,1.2,1.4
02/01/1998,BW 07C08,Pigeonpea,1.2,1.4
02/01/1998,BW 07C08,CP,1.7,0.3
02/01/1998,BW 07C09,Pigeonpea,1.2,1.4
02/01/1998,BW 07C09,CP,1.7,0.3
02/01/1998,BW 08A4,CP,5,0.5
02/01/1998,BM 15A,CP,2.3,1
02/01/1998,BM 15B,CP,3.6,3.7
02/01/1998,BIL 07AS03,S,,4
02/01/1998,BW 08A3,CP,1.6,2.2
