"","Date","Std.Week","Rain","Evap","Max.Temp","Min.Temp","Rel.Humidity1","Rel.Humidity2","Wind.Velocity","Solar.Radiation","Bright.Sunshine"
"1","01/01/1980",1,0,4.5,28.8,14.6,85,34,6.1,18.8,10.2
"2","02/01/1980",1,0,4.5,29.3,14.6,87,39,6.8,16.9,10.5
"3","03/01/1980",1,0,3.8,29.4,16,86,41,5.7,13.6,9.9
"4","04/01/1980",1,0,4.5,28.4,16.6,79,35,7.3,18.3,8
"5","05/01/1980",1,0,6,28.7,18.3,85,37,14.5,18.7,10
"6","06/01/1980",1,0,5.9,28.7,18.2,86,42,13.7,17,10
"7","07/01/1980",1,0,4.8,27.9,16.5,90,49,9.9,15.5,8.8
"8","08/01/1980",2,0,4.2,27.5,16.3,83,47,8.5,14.5,6.9
"9","09/01/1980",2,0,4,27.4,15.5,73,37,7.1,18.5,7.4
"10","10/01/1980",2,0,4.7,27.8,12.8,84,33,7.3,18.7,9.6
"11","11/01/1980",2,0,5,28.4,14.4,89,35,7.6,13.7,10.3
"12","12/01/1980",2,0,5.9,29,15.8,67,37,10,18.8,10.1
"13","13/01/1980",2,0,5.6,28.2,13.7,94,33,10.4,19.8,9.9
"14","14/01/1980",2,0,5.8,28,13.5,81,26,10.2,18.8,10.3
"15","15/01/1980",3,0,5.9,28.3,12.4,87,31,8.6,21,10.5
"16","16/01/1980",3,0,6.1,28,13.5,96,38,10.3,20.8,10.3
"17","17/01/1980",3,0,6,28,14,85,26,9.1,18.1,10.6
"18","18/01/1980",3,0,6.3,28.5,14.5,88,32,9.4,19.1,10.7
"19","19/01/1980",3,0,6,28.1,13.2,85,31,8.9,20.2,10.6
"20","20/01/1980",3,0,6.2,28.9,13.7,85,31,9.5,20,10.6
"21","21/01/1980",3,0,5.8,29.1,15.1,65,30,7.4,19.5,10.6
"22","22/01/1980",4,0,5,29.9,15.4,65,29,5.5,15.5,10.4
"23","23/01/1980",4,0,4.9,30.2,16.3,67,29,6,16.8,9.7
"24","24/01/1980",4,0,5.6,30.2,15.2,76,30,5.6,18.7,10.4
"25","25/01/1980",4,0,4.9,30,15.5,75,31,4.5,19.7,9
"26","26/01/1980",4,0,6.3,29.8,15,82,31,7.9,19.9,10.3
"27","27/01/1980",4,0,5.6,29.8,17.5,67,30,6.1,18.4,10.3
"28","28/01/1980",4,0,5.3,30.9,15.7,67,26,6,16.7,10.2
"29","29/01/1980",5,0,6.1,30.7,13,70,30,6.8,18.8,10.4
"30","30/01/1980",5,0,6.2,30,12.1,75,28,7,20.4,10.4
"31","31/01/1980",5,0,5.5,29.4,16.4,60,30,5.3,20.5,10.4
"32","01/02/1980",5,0,6.9,30.1,17,76,28,10.7,17.1,10.4
"33","02/02/1980",5,0,6.8,30.7,17.8,61,30,9.8,20.4,9.9
"34","03/02/1980",5,0,7.8,30.1,18,63,31,11.8,20.3,10.2
"35","04/02/1980",5,0,6.9,29.9,17.4,71,31,9.6,18,10.5
"36","05/02/1980",6,0,6,31.1,16.7,78,36,9.2,20.4,10.4
"37","06/02/1980",6,0,6.1,30.3,15.4,75,31,6.3,21,10.6
"38","07/02/1980",6,0,6.1,31.3,19.1,69,37,5.9,18.3,10.7
"39","08/02/1980",6,0,6.5,31,17,90,39,8.1,19.5,9.5
"40","09/02/1980",6,0,6.9,30.5,17.5,83,36,9.5,20,10.2
"41","10/02/1980",6,0,7.3,31.8,17.2,80,33,10,20,10.3
"42","11/02/1980",6,0,7.4,32,19.4,90,43,10.2,19.3,10.1
"43","12/02/1980",7,0,6.7,30.8,18.6,91,43,8.2,20,10.1
"44","13/02/1980",7,0,6.9,30.8,16.4,85,37,8.5,20.4,10.4
"45","14/02/1980",7,0,6.4,31.4,18.2,76,39,6.2,20.7,10.5
"46","15/02/1980",7,0,8,32.2,18.9,68,29,9.4,20.5,10.1
"47","16/02/1980",7,0,7.5,32.8,17,72,30,8.1,20,10.5
"48","17/02/1980",7,0,6.8,32.9,16,72,29,6.5,21.8,10.1
"49","18/02/1980",7,0,6.9,33,18.6,82,37,5.7,16.2,10.5
"50","19/02/1980",8,0,6.2,31.6,18.7,75,30,7.6,22.2,8.1
"51","20/02/1980",8,0,7.5,33,18.7,87,32,8,21.5,10.2
"52","21/02/1980",8,0,7.9,33.4,18.8,81,33,6.6,21.2,10.5
"53","22/02/1980",8,0,6.8,33.5,17.8,69,32,5.7,18.6,10
"54","23/02/1980",8,0,7.3,34,18.7,64,29,6.1,13.2,10.6
"55","24/02/1980",8,0,6.8,35,16.6,69,28,5.3,21.9,10.8
"56","25/02/1980",8,0,8.5,35.4,17.9,50,29,6.2,21.4,10.8
"57","26/02/1980",9,0,8,35.4,19.4,57,34,6.1,22.1,10.5
"58","27/02/1980",9,0,9,34.7,17.5,63,38,7.5,21.6,10.7
"59","28/02/1980",9,0,7.8,34.8,19.3,58,21,6.4,20.9,10.4
"60","29/02/1980",9,4,8.8,35.9,20,82,21,8.7,20.2,10
"61","01/03/1980",9,0,8.2,36.1,18,79,19,8.1,23.3,10
"62","02/03/1980",9,0,9.5,34.5,15.5,70,23,8.5,24.1,10.5
"63","03/03/1980",9,0,9,33.2,15.7,66,14,7.4,24.1,10.5
"64","04/03/1980",9,0,8.6,35.5,16.5,56,20,6,23.8,10.2
"65","05/03/1980",10,0,8.6,36.2,17,63,17,6.3,23.8,10.7
"66","06/03/1980",10,0,9.3,37.4,21.3,48,30,6.7,16,10.6
"67","07/03/1980",10,0,6.9,35.6,21.2,69,28,5.9,15.1,7.2
"68","08/03/1980",10,0,7.9,35.7,22.7,76,23,8.8,21.6,4.6
"69","09/03/1980",10,0,10,34,18.4,52,27,9.4,23.6,9.3
"70","10/03/1980",10,0,8.8,32.6,15.5,59,44,7.3,18.5,10.6
"71","11/03/1980",10,0,7.2,33,21.5,85,38,10.4,21.4,8
"72","12/03/1980",11,0,8.4,33.7,21.5,90,48,13.3,18.9,10
"73","13/03/1980",11,8.6,7.4,33.4,20.9,97,41,13.2,23.3,6.6
"74","14/03/1980",11,0,8.1,32.5,18,80,45,11.1,23.7,9.6
"75","15/03/1980",11,0,8.4,32.2,19.2,84,36,11.1,24.1,10.7
"76","16/03/1980",11,0,8.9,34.2,19.5,79,42,8.7,23,10.3
"77","17/03/1980",11,0,8.8,34.6,19.7,69,43,7.8,24.5,10.4
"78","18/03/1980",11,0,10.9,35.9,20.5,56,28,10.1,21.8,10.4
"79","19/03/1980",12,0,11.1,35.5,19.5,53,29,10.9,23.9,10.2
"80","20/03/1980",12,0,10.4,36.5,19.4,60,18,9.6,22.7,10
"81","21/03/1980",12,0,10.9,36.8,20,62,28,9.8,21,10.9
"82","22/03/1980",12,0,10.5,37,20.5,52,26,9.7,21.4,10
"83","23/03/1980",12,0,10.4,37,22,47,21,9.7,22.2,9.7
"84","24/03/1980",12,0,10.6,37.8,22.5,48,31,9.1,14.4,10.4
"85","25/03/1980",12,0,8.2,37.5,21.7,46,23,6.7,22.2,4.1
"86","26/03/1980",13,0,10.6,38,20.5,63,28,8.8,22.9,7.8
"87","27/03/1980",13,0,12,36.3,22.6,51,27,10.3,24.7,9.8
"88","28/03/1980",13,0,13.1,37.1,21.5,61,39,12.7,24.6,10.8
